geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((19.842099725603536 50.05297174802398, 19.838078249671966 50.05034331789359, 19.834036419246562 50.05230713730722, 19.834016030218123 50.05689897159895, 19.83803718273861 50.059527302500996, 19.842079047682503 50.057563898357124, 19.842099725603536 50.05297174802398, 19.842099725603536 50.05297174802398))",885262cc3bfffff,903.9119300246037,0.0,9178.964377964068,429564.12314127566,11504.55417035853,0
"POLYGON ((19.971666816007982 49.96700555302402, 19.967640468557324 49.96437387390415, 19.963591594733284 49.9663460350041, 19.963569033924532 49.97094945901845, 19.967595058189797 49.9735810397421, 19.971643966433163 49.971609294865296, 19.971666816007982 49.96700555302402, 19.971666816007982 49.96700555302402))",885262c11dfffff,0.0,0.0,8989.33085314436,27155.153642947407,8986.4421520917,2
"POLYGON ((19.926678939952243 50.080633253472904, 19.922657973628734 50.07800263538238, 19.918613092655875 50.07996618894477, 19.91858914438731 50.08455994463067, 19.922609787626843 50.08719046298177, 19.926654702202885 50.08522732540388, 19.926678939952243 50.080633253472904, 19.926678939952243 50.080633253472904))",885262c521fffff,1670.5653687294032,3831.361394070752,43491.27148774773,27646.242123424865,6692.064215124707,221
"POLYGON ((19.805729629900107 50.07063760690502, 19.801709243155518 50.06801009543472, 19.797669280137434 50.06997201599415, 19.79764966923525 50.07456103304694, 19.801669732493128 50.07718844513786, 19.805709730123727 50.07522693957277, 19.805729629900107 50.07063760690502, 19.805729629900107 50.07063760690502))",885262cca7fffff,0.0,1178.272581741554,18164.162549188888,9496.286873934201,14378.588446665404,56
"POLYGON ((19.92709529064738 49.99788680090727, 19.923070672535538 49.99525623699202, 19.91902423895135 49.99722543783813, 19.919002389023156 50.0018247867198, 19.923026683873676 50.004455251935084, 19.9270731518976 50.0024864669863, 19.92709529064738 49.99788680090727, 19.92709529064738 49.99788680090727))",885262c1bdfffff,0.0,3103.9624765181743,24701.71673545442,15931.832359088525,7508.336825342833,21
"POLYGON ((20.02366125671491 50.06105194548915, 20.019638633901213 50.05841885316448, 20.015589320699323 50.06038560018823, 20.015562597221127 50.06498502280309, 20.01958489721863 50.067618015445774, 20.0236342434944 50.06565168517302, 20.02366125671491 50.06105194548915, 20.02366125671491 50.06105194548915))",885262c283fffff,0.0,1560.1086850432032,20172.130955710185,34711.673729776565,2421.0425309576935,46
"POLYGON ((19.922822956780152 50.0458354443454, 19.918800487482812 50.0432049509313, 19.914755121864403 50.04517080238322, 19.914732191542114 50.04976673135089, 19.918754337667725 50.052397125469945, 19.922799737271287 50.05043168993393, 19.922822956780152 50.0458354443454, 19.922822956780152 50.0458354443454))",885262ce09fffff,1622.4931866108473,3326.882726512556,27779.706786255156,36235.33856590539,5651.809572315525,49
"POLYGON ((19.91902423895135 49.99722543783813, 19.9149996589859 49.99459508134957, 19.910953552396748 49.996564172401534, 19.910931991250017 50.00116320412832, 19.91495624792712 50.0037934619406, 19.919002389023156 50.0018247867198, 19.91902423895135 49.99722543783813, 19.91902423895135 49.99722543783813))",885262c1b5fffff,0.0,1346.6155042892915,26338.67713171796,82744.11744882548,7982.811410779451,88
"POLYGON ((19.98367463356165 49.98871154972709, 19.97964914393139 49.986079543119324, 19.975600167159836 49.98805045542712, 19.975576645893693 49.99265295801454, 19.979601812423194 49.99528486592905, 19.983650823303563 49.99331436996696, 19.98367463356165 49.98871154972709, 19.98367463356165 49.98871154972709))",885262c021fffff,0.0,0.0,6600.572250799151,177687.08218278707,6425.373923668852,0
"POLYGON ((20.12853644328119 50.083534058124485, 20.12451398404247 50.08089825411742, 20.12046071150488 50.08286547897851, 20.120429866132294 50.087468090235504, 20.124452002944743 50.09010379407305, 20.128505307540063 50.088136986840674, 20.12853644328119 50.083534058124485, 20.12853644328119 50.083534058124485))",885262d717fffff,0.0,0.0,3138.4022683394887,24698.815367938012,10142.64951018685,1
