geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((4.951309408246966 52.32210552760187, 4.955292697439199 52.32330714596298, 4.958829332540617 52.32038140556018, 4.958382891967823 52.31625383418273, 4.954399553224716 52.31505197323902, 4.9508627045929705 52.31797792625384, 4.951309408246966 52.32210552760187, 4.951309408246966 52.32210552760187))",887ab60839fffff,2248.891040523609,1692.9804755985979,20950.19061854958,81149.03458161777,7351.313796256635,65
"POLYGON ((4.79154620886781 52.37776561669018, 4.795536927431899 52.37896606790401, 4.799075576887894 52.37603977614736, 4.798623720873697 52.371912819946516, 4.794632951169781 52.37071212583666, 4.791094088607655 52.37363863082226, 4.79154620886781 52.37776561669018, 4.79154620886781 52.37776561669018))",887ab61aa9fffff,1375.9324319726188,517.6830680169371,20523.18200682641,52620.34873896411,6633.585932118268,5
"POLYGON ((4.868165827120004 52.37288891773227, 4.872152281088808 52.37408912540973, 4.875689473934053 52.37116372489613, 4.875240426090305 52.36703790365154, 4.871253921617174 52.36583745324541, 4.867716515479857 52.36876306681115, 4.868165827120004 52.37288891773227, 4.868165827120004 52.37288891773227))",887ab61991fffff,3987.181404451843,6094.982841430067,22203.3376258081,6102.403619981579,1455.069799700948,169
"POLYGON ((4.867772856142844 52.40468663010089, 4.871758299376243 52.40588566825081, 4.875294770694553 52.40296117872288, 4.874846012029805 52.39883743781813, 4.87086051810369 52.39763815696422, 4.867323833522809 52.40056285971769, 4.867772856142844 52.40468663010089, 4.867772856142844 52.40468663010089))",887ab619e3fffff,279.9601564973102,0.0,5785.072867261146,208.93676770573714,3500.9748218441696,369
"POLYGON ((4.88281619163023 52.401235800926955, 4.886800877271582 52.40243488319076, 4.890337118718767 52.39951049671145, 4.889888887813326 52.395386814789646, 4.8859041516185195 52.39418748985264, 4.882367696870338 52.39711208950925, 4.88281619163023 52.401235800926955, 4.88281619163023 52.401235800926955))",887ab619a1fffff,0.0,0.0,1047.9467513766538,0.0,2837.9750551386355,77
"POLYGON ((5.020303484619308 52.31897140378981, 5.024282871101014 52.320172755750214, 5.027818138378623 52.317247854940064, 5.027374232852604 52.31312138970816, 5.023394797382783 52.31191979531673, 5.019859316414795 52.31484490858672, 5.020303484619308 52.31897140378981, 5.020303484619308 52.31897140378981))",887ab67349fffff,52.38452844254983,1858.9407423981008,10658.119478632241,1611.6042632835195,10973.946537282007,5
"POLYGON ((4.825717779137543 52.40799192465008, 4.829705544086447 52.409191073131275, 4.833242800784069 52.40626611269833, 4.8327925056807 52.40214179045658, 4.82880468968638 52.40094239918005, 4.825267219828612 52.403867572939184, 4.825717779137543 52.40799192465008, 4.825717779137543 52.40799192465008))",887ab6182bfffff,270.3349977216486,471.49043561844536,0.0,809.8497512597298,5583.60301349325,153
"POLYGON ((4.895168906217137 52.37303916196205, 4.899153793679308 52.374239214911164, 4.90269042717253 52.371314182369645, 4.902242386546459 52.36718888387775, 4.898257448792845 52.36598858826041, 4.894720601944462 52.368913833801855, 4.895168906217137 52.37303916196205, 4.895168906217137 52.37303916196205))",887ab60b59fffff,936.7509778423872,259.15072419410404,22520.92961188731,353.96404639195356,538.6882273693002,488
"POLYGON ((4.9128969345923625 52.39433502553172, 4.916880103966813 52.39553419596151, 4.920415883983636 52.39261001562211, 4.9199687079911705 52.388486451770646, 4.915985488341651 52.387287038729355, 4.9124494949473885 52.39021143214956, 4.9128969345923625 52.39433502553172, 4.9128969345923625 52.39433502553172))",887ab60b6bfffff,2737.371056659345,2510.4708480751774,20558.6636096461,109004.84156962499,2612.5882858898835,112
"POLYGON ((4.913702337712606 52.33072724326759, 4.9176875259404795 52.33192875220592, 4.921224744259986 52.3290027527348, 4.920776987775204 52.32487503159103, 4.916791749649097 52.32367327999263, 4.913254317893703 52.32659949219656, 4.913702337712606 52.33072724326759, 4.913702337712606 52.33072724326759))",887ab60a37fffff,1422.624737315487,5117.343408513601,5811.127211644277,12672.459492431575,5313.453737912432,4
"POLYGON ((4.776114713974247 52.41302457706949, 4.780105175853699 52.41422381378485, 4.783643327479958 52.41129833078333, 4.783191230251607 52.40717339761424, 4.779200716903841 52.405973917996825, 4.7756623522405075 52.408899614449176, 4.776114713974247 52.41302457706949, 4.776114713974247 52.41302457706949))",887ab61a3dfffff,0.0,0.0,0.0,0.0,8713.563626648815,0
"POLYGON ((4.93586084108834 52.35736483334868, 4.939843881543953 52.35856523877498, 4.943380032600696 52.35564030327416, 4.942933356653144 52.35151474951071, 4.938950266319258 52.35031410149462, 4.9354139017989 52.35323924983027, 4.93586084108834 52.35736483334868, 4.93586084108834 52.35736483334868))",887ab6086dfffff,2160.9322825147397,1683.7885198456079,18709.938042554793,33027.40219467958,3811.257131377787,108
"POLYGON ((4.782659027625961 52.367109645707664, 4.786650604529128 52.36831053872175, 4.790189680191584 52.36538382052748, 4.789737392033118 52.36125599612964, 4.78574576398202 52.360054860191255, 4.782206475225082 52.36298179157369, 4.782659027625961 52.367109645707664, 4.782659027625961 52.367109645707664))",887ab61a81fffff,2161.6731011397746,1404.4288626176235,11284.758520895317,36344.23940449685,7304.138332495851,10
"POLYGON ((4.911554446974301 52.38196340757549, 4.915538096174497 52.383163041224115, 4.9190741872696915 52.38023848633537, 4.918626842537778 52.376114084780255, 4.9146431431238655 52.374914208507214, 4.9111068386433026 52.37783897641223, 4.911554446974301 52.38196340757549, 4.911554446974301 52.38196340757549))",887ab60b09fffff,841.986339591351,985.7085750859038,14367.469336106064,1831.440905217412,1678.0404275272256,62
"POLYGON ((4.906179435406296 52.33245180750336, 4.910165003171196 52.33365329454171, 4.913702337712606 52.33072724326759, 4.913254317893703 52.32659949219656, 4.90926870016108 52.32539776248275, 4.905731152202786 52.328324026513904, 4.906179435406296 52.33245180750336, 4.906179435406296 52.33245180750336))",887ab60a31fffff,2127.72790391504,4156.603811164647,8071.037715599129,45835.17193743001,4986.753100544151,3
"POLYGON ((4.792526612654101 52.421945191237086, 4.796515838413885 52.42314400850872, 4.800053450634305 52.42021900395245, 4.799602050150968 52.416094968656026, 4.7956127730010465 52.414895908526255, 4.792074947712352 52.417821126549526, 4.792526612654101 52.421945191237086, 4.792526612654101 52.421945191237086))",887ab6184dfffff,365.29037917383476,0.0,2804.357867078812,13853.361049607489,8316.958485853396,1
